Source,Target,Type
1,1,Undirected
1,2,Undirected
1,3,Undirected
1,4,Undirected
1,5,Undirected
1,2,Undirected
1,6,Undirected
1,7,Undirected
1,8,Undirected
1,9,Undirected
1,10,Undirected
1,11,Undirected
1,12,Undirected
1,13,Undirected
1,3,Undirected
1,14,Undirected
1,15,Undirected
1,16,Undirected
1,2,Undirected
1,17,Undirected
1,18,Undirected
1,19,Undirected
1,20,Undirected
1,21,Undirected
1,22,Undirected
1,23,Undirected
1,24,Undirected
1,25,Undirected
1,2,Undirected
1,26,Undirected
1,27,Undirected
1,28,Undirected
1,29,Undirected
1,30,Undirected
1,31,Undirected
1,32,Undirected
1,33,Undirected
1,34,Undirected
1,35,Undirected
1,36,Undirected
1,37,Undirected
1,38,Undirected
1,39,Undirected
1,40,Undirected
1,41,Undirected
1,42,Undirected
1,43,Undirected
1,44,Undirected
1,45,Undirected
1,46,Undirected
1,47,Undirected
1,48,Undirected
1,49,Undirected
1,50,Undirected
1,51,Undirected
1,52,Undirected
1,2,Undirected
1,53,Undirected
1,54,Undirected
1,28,Undirected
1,55,Undirected
1,56,Undirected
1,57,Undirected
1,20,Undirected
1,4,Undirected
1,58,Undirected
1,59,Undirected
1,26,Undirected
1,27,Undirected
1,24,Undirected
1,30,Undirected
1,25,Undirected
1,20,Undirected
1,60,Undirected
1,61,Undirected
1,2,Undirected
1,62,Undirected
1,63,Undirected
1,59,Undirected
1,2,Undirected
1,64,Undirected
1,20,Undirected
1,65,Undirected
1,23,Undirected
1,66,Undirected
1,67,Undirected
1,68,Undirected
1,69,Undirected
1,70,Undirected
1,58,Undirected
1,60,Undirected
1,71,Undirected
1,26,Undirected
1,27,Undirected
1,72,Undirected
1,30,Undirected
1,73,Undirected
1,2,Undirected
1,74,Undirected
1,75,Undirected
1,76,Undirected
1,57,Undirected
1,2,Undirected
1,77,Undirected
1,78,Undirected
1,79,Undirected
1,80,Undirected
1,4,Undirected
1,65,Undirected
1,3,Undirected
1,14,Undirected
1,81,Undirected
1,82,Undirected
1,83,Undirected
1,84,Undirected
1,85,Undirected
1,86,Undirected
1,87,Undirected
1,88,Undirected
1,2,Undirected
1,89,Undirected
1,90,Undirected
1,20,Undirected
1,91,Undirected
1,92,Undirected
1,93,Undirected
1,83,Undirected
1,85,Undirected
1,84,Undirected
1,83,Undirected
1,83,Undirected
1,93,Undirected
1,85,Undirected
1,84,Undirected
1,94,Undirected
1,20,Undirected
1,24,Undirected
1,25,Undirected
1,95,Undirected
1,96,Undirected
1,52,Undirected
1,97,Undirected
1,66,Undirected
1,23,Undirected
1,98,Undirected
1,99,Undirected
1,22,Undirected
1,37,Undirected
1,2,Undirected
1,26,Undirected
1,100,Undirected
1,101,Undirected
1,102,Undirected
1,103,Undirected
1,104,Undirected
1,105,Undirected
1,106,Undirected
1,26,Undirected
1,27,Undirected
1,66,Undirected
1,23,Undirected
1,107,Undirected
1,108,Undirected
1,109,Undirected
1,110,Undirected
1,20,Undirected
1,24,Undirected
